Date,Nr Used Entrances,Temperature (mean),Precipitation (sum),Vacation,Event,Campaign
2023-04-15,3763,7.4,1.1,0,0,0
2023-04-16,4307,9.3,2.1,0,0,0
2023-04-17,1400,10.2,0.4,0,0,0
2023-04-18,1704,9.0,0.1,0,0,0
2023-04-19,2084,9.1,0.0,0,0,0
2023-04-20,1400,8.3,2.0,0,0,0
2023-04-21,1311,13.0,6.2,0,0,0
2023-04-22,3558,12.6,8.8,May Holiday,0,0
2023-04-23,4652,11.5,6.1,May Holiday,0,0
2023-04-24,1435,8.8,10.5,May Holiday,0,0
2023-04-25,2861,6.4,1.2,May Holiday,0,0
2023-04-26,3860,5.3,0.9,May Holiday,0,0
2023-04-27,3711,6.3,0.0,King's Day; May Holiday,Kingsnight Festival Assen; Kingsnight Festival Groningen,0
2023-04-28,2823,9.8,2.6,May Holiday,King's Day Celebration Assen; King's Day Celebration Groningen,0
2023-04-29,5317,10.4,0.0,May Holiday,0,0
2023-04-30,6950,9.2,0.0,May Holiday,0,0
2023-05-01,6995,11.4,0.0,May Holiday,0,0
2023-05-02,4659,8.5,1.2,May Holiday,0,0
2023-05-03,5810,8.4,0.0,May Holiday,0,0
2023-05-04,5555,11.5,0.0,May Holiday,0,0
2023-05-05,3349,13.4,8.5,Liberation Day; May Holiday,0,0
2023-05-06,4774,13.0,2.8,May Holiday,0,0
2023-05-07,3992,14.0,0.1,May Holiday,0,0
2023-05-08,1580,14.5,5.7,0,0,0
2023-05-09,628,15.0,10.7,0,0,0
2023-05-10,1031,13.6,5.2,0,0,0
2023-05-11,796,12.6,15.4,0,0,0
2023-05-12,1523,15.7,0.4,0,0,0
2023-05-13,3840,15.9,0.0,0,Assen Motorcycle Market,0
2023-05-14,4064,14.7,0.0,0,0,0
2023-05-15,1008,12.6,0.4,0,0,0
2023-05-16,1311,10.2,0.9,0,0,0
2023-05-17,1988,9.0,0.1,0,0,0
2023-05-18,6791,9.5,0.0,Ascension Day,0,0
2023-05-19,6664,12.2,0.0,0,0,0
2023-05-20,4979,14.6,0.0,0,0,0
2023-05-21,4653,17.0,1.5,0,0,0
2023-05-22,1035,18.3,3.2,0,0,0
2023-05-23,1232,12.3,0.1,0,0,0
2023-05-24,1700,11.0,0.1,0,0,0
2023-05-25,1899,11.2,0.1,0,0,0
2023-05-26,1486,11.0,0.0,0,0,0
2023-05-27,4315,13.3,0.0,0,0,0
2023-05-28,7139,14.1,0.0,Pentecost Sunday,0,0
2023-05-29,7673,11.3,0.0,Pentecost Monday,0,0
2023-05-30,2538,12.4,0.2,Summer Holiday,0,0
2023-05-31,1357,14.0,0.0,Summer Holiday,0,0
2023-06-01,2036,11.9,0.0,Summer Holiday,0,0
2023-06-02,1643,14.0,0.0,Summer Holiday,0,0
2023-06-03,7114,14.5,0.0,Summer Holiday,0,0
2023-06-04,8451,14.1,0.0,Summer Holiday,0,0
2023-06-05,1880,13.9,0.0,Summer Holiday,0,0
2023-06-06,1751,14.6,0.0,Summer Holiday,0,0
2023-06-07,1845,14.5,0.0,Summer Holiday,0,0
2023-06-08,1590,15.8,0.0,Corpus Christi; Summer Holiday,0,0
2023-06-09,4827,19.7,0.0,Summer Holiday,0,0
2023-06-10,2655,20.4,0.0,Summer Holiday,0,0
2023-06-11,2384,23.2,0.0,Summer Holiday,0,0
2023-06-12,734,21.9,0.0,Summer Holiday,0,0
2023-06-13,1224,20.3,0.0,Summer Holiday,0,0
2023-06-14,2067,19.4,0.0,Summer Holiday,0,0
2023-06-15,1256,19.5,0.0,Summer Holiday,0,0
2023-06-16,1722,19.0,0.0,Summer Holiday,0,0
2023-06-17,3125,19.2,0.0,Summer Holiday,0,0
2023-06-18,3133,21.5,1.7,Summer Holiday,0,0
2023-06-19,1428,21.6,0.3,Summer Holiday,0,0
2023-06-20,1160,21.7,5.3,Summer Holiday,0,0
2023-06-21,1639,21.1,0.6,Summer Holiday,0,0
2023-06-22,1720,19.5,10.9,Summer Holiday,0,0
2023-06-23,2167,19.3,12.4,Summer Holiday,TT Assen MotoGP,0
2023-06-24,4101,20.5,0.1,Summer Holiday,TT Assen MotoGP,0
2023-06-25,2972,23.2,0.0,Summer Holiday,TT Assen MotoGP,0
2023-06-26,2585,20.0,0.4,Summer Holiday,0,0
2023-06-27,2398,17.4,0.5,Summer Holiday,0,0
2023-06-28,2581,16.4,0.9,Summer Holiday,0,0
2023-06-29,2050,19.3,2.9,Summer Holiday,0,0
2023-06-30,2611,17.6,0.3,Summer Holiday,0,0
2023-07-01,2785,17.2,7.5,Summer Holiday,0,0
2023-07-02,5786,16.6,0.8,Summer Holiday,0,0
2023-07-03,2742,16.0,3.6,Summer Holiday,0,0
2023-07-04,2188,16.2,0.7,Summer Holiday,0,0
2023-07-05,471,14.6,13.5,Summer Holiday,0,0
2023-07-06,2972,16.1,0.8,Summer Holiday,0,0
2023-07-07,2061,19.6,0.0,Summer Holiday,Noorderzon Festival Groningen,0
2023-07-08,2598,23.4,0.0,Summer Holiday,Noorderzon Festival Groningen,0
2023-07-09,2078,24.4,6.5,Summer Holiday,0,0
2023-07-10,2678,20.5,1.8,Summer Holiday,0,0
2023-07-11,2161,22.4,0.1,Summer Holiday,0,0
2023-07-12,3735,18.7,5.4,Summer Holiday,0,0
2023-07-13,2497,17.3,6.2,Summer Holiday,0,0
2023-07-14,3723,18.7,1.0,Summer Holiday,Drentse Fiets4Daagse Assen,0
2023-07-15,3431,22.3,1.9,Summer Holiday,0,0
2023-07-16,6147,18.6,2.9,Summer Holiday,0,0
2023-07-17,3372,17.0,6.4,Summer Holiday,0,0
2023-07-18,4489,17.9,0.2,Summer Holiday,0,0
2023-07-19,3506,17.4,3.8,Summer Holiday,0,0
2023-07-20,4500,16.3,0.7,Summer Holiday,0,0
2023-07-21,3460,15.5,2.8,Summer Holiday,0,0
2023-07-22,3542,15.0,5.7,Summer Holiday,0,0
2023-07-23,3271,16.8,7.1,Summer Holiday,0,0
2023-07-24,3463,17.8,8.0,Summer Holiday,0,0
2023-07-25,8485,15.0,0.1,Summer Holiday,0,0
2023-07-26,5178,14.9,2.1,Summer Holiday,0,0
2023-07-27,2255,16.1,17.7,Summer Holiday,0,0
2023-07-28,4995,19.6,5.6,Summer Holiday,0,0
2023-07-29,4420,18.4,3.4,Summer Holiday,0,0
2023-07-30,5630,16.7,1.5,Summer Holiday,0,0
2023-07-31,2540,16.9,18.8,Summer Holiday,0,0
2023-08-01,3326,16.5,3.2,Summer Holiday,0,0
2023-08-02,3465,16.4,12.9,Summer Holiday,0,0
2023-08-03,4125,17.2,11.1,Summer Holiday,0,0
2023-08-04,5672,16.2,1.8,Summer Holiday,0,0
2023-08-05,4609,14.9,4.6,Summer Holiday,0,0
2023-08-06,3965,15.6,3.3,Summer Holiday,0,0
2023-08-07,4675,14.8,1.8,Summer Holiday,0,0
2023-08-08,5009,15.1,1.1,Summer Holiday,0,0
2023-08-09,8272,15.5,0.1,Summer Holiday,0,0
2023-08-10,7760,15.6,0.0,Summer Holiday,0,0
2023-08-11,4840,20.4,0.4,Summer Holiday,0,0
2023-08-12,3089,19.2,7.0,Summer Holiday,0,0
2023-08-13,6970,18.5,0.4,Summer Holiday,0,0
2023-08-14,5286,19.5,0.0,Summer Holiday,0,0
2023-08-15,5224,19.8,1.3,Summer Holiday,0,0
2023-08-16,6389,17.4,0.0,Summer Holiday,0,0
2023-08-17,5570,17.9,0.1,Summer Holiday,0,0
2023-08-18,3525,20.2,0.0,Summer Holiday,Summer Carnival Groningen,0
2023-08-19,3623,21.5,8.6,Summer Holiday,0,0
2023-08-20,4661,19.7,0.0,Summer Holiday,0,0
2023-08-21,3742,19.0,0.0,Summer Holiday,0,0
2023-08-22,3924,19.3,0.2,Summer Holiday,0,0
2023-08-23,5337,18.6,0.0,Summer Holiday,0,0
2023-08-24,3874,19.6,1.0,Summer Holiday,0,0
2023-08-25,3413,19.3,9.2,Summer Holiday,Bluesnight Festival Groningen,0
2023-08-26,4453,16.5,4.3,Summer Holiday,0,0
2023-08-27,3550,15.0,6.9,Summer Holiday,0,0
2023-08-28,3876,15.3,0.7,Summer Holiday,0,0
2023-08-29,4947,14.6,2.1,Summer Holiday,0,0
2023-08-30,2869,13.7,7.2,Summer Holiday,0,0
2023-08-31,3424,13.5,3.1,Summer Holiday,0,0
2023-09-01,3110,14.7,0.1,0,0,0
2023-09-02,4319,16.6,1.8,0,Assen Autumn Fair,0
2023-09-03,7114,16.0,0.0,0,0,0
2023-09-04,1957,17.4,0.0,0,0,0
2023-09-05,1465,20.8,0.0,0,0,0
2023-09-06,1520,21.8,0.0,0,0,0
2023-09-07,1164,22.1,0.0,0,0,0
2023-09-08,1095,22.6,0.0,0,0,0
2023-09-09,2712,21.5,0.0,0,0,0
2023-09-10,2549,21.1,0.0,0,0,0
2023-09-11,1065,22.7,0.0,0,0,0
2023-09-12,1315,19.6,4.2,0,0,0
2023-09-13,1991,15.7,17.4,0,0,0
2023-09-14,2356,13.8,0.0,0,0,0
2023-09-15,1941,14.6,0.0,0,0,0
2023-09-16,4433,17.2,0.0,0,0,0
2023-09-17,5358,18.0,7.8,0,0,0
2023-09-18,1067,19.0,5.2,0,0,0
2023-09-19,897,16.4,0.7,0,0,0
2023-09-20,1742,18.7,0.4,0,0,0
2023-09-21,1038,18.2,16.2,0,0,0
2023-09-22,1864,14.5,2.8,0,0,0
2023-09-23,3313,13.0,2.9,0,0,0
2023-09-24,6163,13.8,0.0,0,0,0
2023-09-25,1411,15.7,0.0,0,0,0
2023-09-26,2073,15.8,0.0,0,0,0
2023-09-27,2146,17.3,0.0,0,0,0
2023-09-28,1784,18.0,0.0,0,0,0
2023-09-29,2421,17.1,1.1,0,0,0
2023-09-30,4673,15.2,0.2,0,0,0
2023-10-01,6373,16.9,0.0,0,0,0
2023-10-02,3817,18.2,0.0,Autumn Holiday,0,0
2023-10-03,2188,16.1,1.5,Day of German Unity; Autumn Holiday,UTOPIA Music Festival Groningen,0
2023-10-04,2374,14.5,0.5,Autumn Holiday,0,0
2023-10-05,1425,14.7,1.2,Autumn Holiday,0,0
2023-10-06,1783,15.7,0.0,Autumn Holiday,0,0
2023-10-07,6733,17.4,1.1,Autumn Holiday,0,0
2023-10-08,4874,13.9,5.9,Autumn Holiday,0,0
2023-10-09,1139,15.9,2.2,Autumn Holiday,0,0
2023-10-10,2368,17.2,0.0,Autumn Holiday,0,0
2023-10-11,1727,17.4,7.4,Autumn Holiday,0,0
2023-10-12,1128,14.1,19.3,Autumn Holiday,0,0
2023-10-13,859,17.7,23.5,Autumn Holiday,0,0
2023-10-14,3060,11.5,4.9,Autumn Holiday,0,0
2023-10-15,3790,7.9,0.3,Autumn Holiday,0,0
2023-10-16,2141,8.4,0.1,Autumn Holiday,0,0
2023-10-17,3529,6.8,0.0,Autumn Holiday,0,0
2023-10-18,3499,7.7,0.4,Autumn Holiday,0,0
2023-10-19,1727,10.7,12.3,Autumn Holiday,0,0
2023-10-20,772,8.0,23.1,Autumn Holiday,0,0
2023-10-21,2956,13.1,1.7,Autumn Holiday,0,0
2023-10-22,4288,12.2,3.4,Autumn Holiday,0,0
2023-10-23,4982,9.7,0.7,Autumn Holiday,0,0
2023-10-24,2918,11.4,4.3,Autumn Holiday,0,0
2023-10-25,5117,10.0,4.5,Autumn Holiday,0,0
2023-10-26,3468,9.5,0.3,Autumn Holiday,0,0
2023-10-27,2662,9.0,9.5,Autumn Holiday,Groningen Museum Night,0
2023-10-28,3372,10.0,4.0,Autumn Holiday,0,0
2023-10-29,3489,12.5,7.4,0,0,0
2023-10-30,2199,11.6,4.1,0,0,0
2023-10-31,1374,10.4,20.5,Reformation Day,0,0
2023-11-01,1168,11.5,2.9,0,0,0
2023-11-02,565,11.3,6.4,0,0,0
2023-11-03,810,9.2,8.5,0,0,0
2023-11-04,1773,9.0,5.0,0,0,0
2023-11-05,2235,9.8,3.2,0,0,0
2023-11-06,631,9.2,0.1,0,0,0
2023-11-07,670,8.5,1.8,0,0,0
2023-11-08,746,8.7,3.3,0,0,0
2023-11-09,360,9.6,14.9,0,0,0
2023-11-10,447,7.4,4.6,0,0,0
2023-11-11,1482,6.5,2.0,0,Sinterklaas Arrival Groningen,0
2023-11-12,3558,5.5,1.0,0,0,0
2023-11-13,423,7.1,5.9,0,0,0
2023-11-14,376,10.5,8.0,0,0,0
2023-11-15,429,8.7,10.5,0,0,0
2023-11-16,677,6.1,0.4,0,0,0
2023-11-17,810,3.5,0.4,0,Christmas Market Emmen,0
2023-11-18,1203,5.5,9.9,0,0,0
2023-11-19,1841,10.9,15.9,0,0,0
2023-11-20,444,9.8,7.9,0,0,0
2023-11-21,626,6.8,3.0,0,0,0
2023-11-22,592,2.8,0.3,Day of Prayer and Repentance,0,0
2023-11-23,442,10.6,1.0,0,0,0
2023-11-24,415,5.4,7.0,0,0,0
2023-11-25,1461,3.7,2.7,0,0,0
2023-11-26,1800,3.7,3.1,0,0,0
2023-11-27,200,2.7,12.3,0,0,0
2023-11-28,520,0.4,1.0,0,0,0
2023-11-29,361,0.2,4.6,0,0,0
2023-11-30,248,-1.4,0.1,0,0,0
2023-12-01,396,-2.9,0.0,0,0,0
2023-12-02,974,-1.3,0.8,0,0,0
2023-12-03,1113,-0.5,0.4,0,0,0
2023-12-04,224,1.1,5.9,0,0,0
2023-12-05,151,0.6,2.5,0,0,0
2023-12-06,331,1.7,1.2,0,0,0
2023-12-07,337,1.2,0.0,0,0,0
2023-12-08,309,3.0,2.7,0,0,0
2023-12-09,1158,7.2,10.2,0,0,0
2023-12-10,1451,8.3,14.0,0,0,0
2023-12-11,271,7.8,4.0,0,0,0
2023-12-12,277,5.4,4.5,0,0,0
2023-12-13,289,6.5,4.7,0,0,0
2023-12-14,341,4.1,0.0,0,0,0
2023-12-15,490,5.4,0.4,0,Christmas Market Groningen,0
2023-12-16,1177,6.8,0.0,0,Winter Wonderland Assen,0
2023-12-17,2035,8.5,0.0,0,0,0
2023-12-18,1564,7.0,0.4,0,0,0
2023-12-19,123,7.5,13.8,0,0,0
2023-12-20,318,6.6,8.3,0,0,0
2023-12-21,287,8.3,7.9,Christmas Holiday,0,0
2023-12-22,540,5.8,2.6,Christmas Holiday,0,0
2023-12-23,735,7.0,17.6,Christmas Holiday,0,0
2023-12-24,889,10.3,11.4,Christmas Holiday,0,0
2023-12-25,1157,9.7,6.3,Christmas Day; Christmas Holiday,0,0
2023-12-26,6215,7.4,6.8,St. Stephen's Day; Christmas Holiday,0,0
2023-12-27,5794,4.6,3.4,Christmas Holiday,0,0
2023-12-28,7826,9.8,0.5,Christmas Holiday,0,0
2023-12-29,6399,8.4,12.0,Christmas Holiday,0,0
2023-12-30,8313,6.5,0.0,Christmas Holiday,0,0
2024-01-02,2701,8.5,23.5,Christmas Holiday,0,0
2024-01-03,5477,8.3,5.5,Christmas Holiday,0,0
2024-01-04,8797,4.7,1.6,Christmas Holiday,0,0
2024-01-05,4341,5.1,12.1,Christmas Holiday,0,0
2024-01-06,8185,1.0,0.9,Christmas Holiday,0,0
2024-01-07,4747,-1.1,0.0,Christmas Holiday,0,0
2024-01-08,267,-2.3,0.0,0,0,0
2024-01-09,249,-4.4,0.0,0,0,0
2024-01-10,361,-4.3,0.0,0,0,0
2024-01-11,238,-2.1,0.0,0,0,0
2024-01-12,329,1.4,0.0,0,0,0
2024-01-13,1348,3.7,0.0,0,0,0
2024-01-14,1967,3.2,2.7,0,0,0
2024-01-15,147,1.4,0.7,0,0,0
2024-01-16,205,-0.4,0.6,0,0,0
2024-01-17,369,-1.6,0.0,0,0,0
2024-01-18,331,-1.8,0.0,0,0,0
2024-01-19,387,0.3,0.1,0,0,0
2024-01-20,1397,-0.2,0.0,0,0,0
2024-01-21,1973,2.7,0.1,0,0,0
2024-01-22,220,8.2,11.3,0,0,0
2024-01-23,291,6.8,4.0,0,0,0
2024-01-24,426,9.4,3.9,0,0,0
2024-01-25,406,6.0,0.4,0,0,0
2024-01-26,335,7.5,5.9,0,0,0
2024-01-27,2387,3.4,0.0,0,0,0
2024-01-28,4008,3.6,0.0,0,0,0
2024-01-29,735,6.0,0.0,0,0,0
2024-01-30,522,7.7,0.6,0,0,0
2024-01-31,643,5.7,0.2,0,0,0
2024-02-01,890,5.9,3.9,0,0,0
2024-02-02,988,7.3,2.0,0,0,0
2024-02-03,2010,9.8,1.3,0,0,0
2024-02-04,2404,8.4,3.9,0,0,0
2024-02-05,699,9.5,0.1,0,0,Yes
2024-02-06,399,9.7,10.6,0,0,Yes
2024-02-07,720,4.1,3.0,0,0,Yes
2024-02-08,692,1.4,7.3,0,0,Yes
2024-02-09,361,7.9,11.5,0,0,Yes
2024-02-10,2134,9.6,0.9,0,0,Yes
2024-02-11,2358,8.2,1.9,0,0,Yes
2024-02-12,1463,5.7,0.2,Spring Vacation,0,Yes
2024-02-13,1201,5.3,0.3,Spring Vacation,0,Yes
2024-02-14,1085,9.9,8.7,Spring Vacation,0,Yes
2024-02-15,756,11.9,4.6,Spring Vacation,0,Yes
2024-02-16,1226,10.9,2.1,Spring Vacation,0,Yes
2024-02-17,3871,8.2,0.0,0,0,Yes
2024-02-18,1574,8.5,20.0,0,0,Yes
2024-02-19,3292,8.1,2.4,Spring Vacation,0,Yes
2024-02-20,4570,7.4,0.3,Spring Vacation,0,Yes
2024-02-21,3316,8.9,5.4,Spring Vacation,0,Yes
2024-02-22,2273,10.3,3.0,Spring Vacation,0,Yes
2024-02-23,3265,5.1,2.5,Spring Vacation,0,Yes
2024-02-24,3246,3.9,3.0,0,0,Yes
2024-02-25,3472,4.6,2.1,0,0,Yes
2024-02-26,839,3.8,0.0,Spring Vacation,0,0
2024-02-27,686,2.8,0.0,Spring Vacation,0,0
2024-02-28,1043,4.1,0.0,Spring Vacation,0,0
2024-02-29,328,7.0,4.4,Spring Vacation,0,0
2024-03-01,864,8.3,0.0,Spring Vacation,0,0
2024-03-02,2963,9.1,0.2,0,0,0
2024-03-03,5318,9.6,0.0,0,0,0
2024-03-04,634,6.4,0.3,0,0,0
2024-03-05,429,7.6,1.2,0,0,0
2024-03-06,774,6.3,0.0,0,0,0
2024-03-07,788,4.0,0.0,0,0,0
2024-03-08,1115,4.0,0.0,0,0,0
2024-03-09,3086,5.5,0.0,0,0,0
2024-03-10,4218,7.4,0.0,0,0,0
2024-03-11,476,7.4,2.9,0,0,0
2024-03-12,421,7.1,0.3,0,0,0
2024-03-13,913,9.3,0.2,0,0,0
2024-03-14,1290,11.8,0.0,0,0,0
2024-03-15,519,12.0,3.6,0,0,0
2024-03-16,2879,8.2,2.5,0,0,0
2024-03-17,3791,6.8,0.1,0,0,0
2024-03-18,864,9.4,2.7,0,0,Yes
2024-03-19,1208,10.0,0.2,0,0,Yes
2024-03-20,2191,11.1,0.0,0,0,Yes
2024-03-21,1116,9.2,2.1,0,0,Yes
2024-03-22,677,9.3,2.3,0,0,Yes
2024-03-23,2508,5.8,1.9,0,0,Yes
2024-03-24,1734,5.5,11.3,0,0,Yes
2024-03-25,2454,6.3,0.5,0,0,0
2024-03-26,3720,7.9,0.0,0,0,0
2024-03-27,2482,8.8,0.9,0,0,0
2024-03-28,1812,7.6,2.4,0,0,0
2024-03-29,4401,9.9,1.7,Good Friday,0,0
2024-03-30,5038,11.3,4.1,0,0,0
2024-03-31,5233,10.0,10.1,Easter Sunday,0,0
2024-04-01,2549,9.1,7.2,Easter Monday,0,Yes
2024-04-02,2258,9.2,0.8,0,0,Yes
2024-04-03,818,9.7,8.5,0,0,Yes
2024-04-04,796,10.5,8.2,0,0,Yes
2024-04-05,1087,12.9,6.8,0,0,Yes
2024-04-06,5246,17.1,0.0,0,0,Yes
2024-04-07,4259,16.4,2.4,0,0,Yes
2024-04-08,1165,14.5,2.1,0,0,0
2024-04-09,772,12.4,0.5,0,0,0
2024-04-10,2653,10.7,0.8,0,0,0
2024-04-11,960,12.7,3.4,0,0,0
2024-04-12,1480,14.8,0.0,0,0,0
2024-04-13,4882,16.2,0.0,0,0,0
2024-04-14,4661,11.2,0.0,0,0,0
2024-04-15,621,7.5,14.4,0,0,0
2024-04-16,635,6.4,4.7,0,0,0
2024-04-17,982,5.9,5.1,0,0,0
2024-04-18,1592,6.5,0.5,0,0,0
2024-04-19,859,7.4,13.2,0,0,0
2024-04-20,2336,6.3,6.3,0,0,0
2024-04-21,4437,5.4,2.9,0,0,0
2024-04-22,1545,4.9,1.1,0,0,0
2024-04-23,2544,4.6,1.6,0,0,0
2024-04-24,1823,5.6,4.8,0,0,0
2024-04-25,1421,5.8,4.0,0,0,0
2024-04-26,1716,7.6,4.0,0,Kingsnight Festival Groningen,0
2024-04-28,4613,13.6,0.4,0,0,0
2024-04-29,3907,12.5,0.0,0,0,0
2024-04-30,5005,16.7,0.8,0,0,0
2024-05-01,7232,19.1,0.0,Labour Day,0,0
2024-05-02,4405,19.1,0.8,0,0,0
2024-05-03,3340,12.9,1.0,0,0,0
2024-05-04,4982,12.2,3.5,0,0,0
2024-05-05,3066,11.4,6.6,Liberation Day,0,0
2024-05-06,3921,12.5,0.0,0,0,0
2024-05-07,3948,12.9,0.7,0,0,0
2024-05-08,5095,12.3,0.6,0,0,0
2024-05-09,8269,12.7,0.0,Ascension Day,0,0
2024-05-10,7109,13.6,0.0,0,0,0
2024-05-11,4791,14.5,0.0,0,Assen Motorcycle Market,0
2024-05-12,4347,16.8,0.0,0,0,0
2024-05-13,1072,19.4,0.0,0,0,Yes
2024-05-14,1368,20.5,0.0,0,0,Yes
2024-05-15,1392,19.8,0.0,0,0,Yes
2024-05-16,1486,17.6,6.9,0,0,Yes
2024-05-17,1306,17.8,0.2,0,0,Yes
2024-05-18,3731,17.7,0.3,0,Emmen City Festival,Yes
2024-05-19,6422,16.6,2.1,Whit Sunday,0,Yes
2024-05-20,5776,16.3,2.6,Whit Monday,0,Yes
2024-05-21,2878,18.1,3.5,0,0,Yes
2024-05-22,1049,16.4,4.2,0,0,Yes
2024-05-23,2097,15.3,0.8,0,0,Yes
2024-05-24,1348,17.0,0.8,0,0,Yes
2024-05-25,5885,16.7,3.7,May Vacation,0,Yes
2024-05-26,8236,17.0,1.3,May Vacation,0,Yes
2024-05-27,1601,15.3,7.2,0,0,Yes
2024-05-28,2221,14.3,6.5,0,0,Yes
2024-05-29,877,14.7,17.8,0,0,Yes
2024-05-30,2082,14.7,1.6,Corpus Christi,0,Yes
2024-05-31,2020,14.6,0.5,0,0,Yes
